train_loss,train_acc,epoch,step,val_loss,val_acc
1.5972610712051392,0.515625,0,49,,
1.2452813386917114,0.6875,0,99,,
0.9179601669311523,0.796875,0,149,,
0.5824911594390869,0.890625,0,199,,
0.4379991292953491,0.921875,0,249,,
0.4286758303642273,0.9375,0,299,,
0.3221784234046936,0.9375,0,349,,
0.22949542105197906,0.9375,0,399,,
0.22198231518268585,0.984375,0,449,,
0.2969161570072174,0.90625,0,499,,
0.1813080608844757,0.953125,0,549,,
0.17965008318424225,0.96875,0,599,,
0.14836223423480988,0.96875,0,649,,
0.15210582315921783,0.953125,0,699,,
0.19691017270088196,0.96875,0,749,,
0.10712223500013351,0.984375,0,799,,
0.1273721307516098,0.953125,0,849,,
,,0,859,0.16908013820648193,0.9606000185012817
0.21032962203025818,0.953125,1,899,,
0.08341066539287567,0.984375,1,949,,
0.07125816494226456,0.984375,1,999,,
0.2197476625442505,0.953125,1,1049,,
0.15061108767986298,0.96875,1,1099,,
0.11996672302484512,0.984375,1,1149,,
0.044388893991708755,1.0,1,1199,,
0.07461274415254593,0.984375,1,1249,,
0.14784647524356842,0.9375,1,1299,,
0.07538247108459473,0.96875,1,1349,,
0.09107625484466553,0.984375,1,1399,,
0.27688074111938477,0.9375,1,1449,,
0.07224968820810318,0.96875,1,1499,,
0.055803366005420685,1.0,1,1549,,
0.05892255902290344,0.984375,1,1599,,
0.047471705824136734,0.984375,1,1649,,
0.121507927775383,0.953125,1,1699,,
,,1,1719,0.09938781708478928,0.9714000225067139
0.04127490520477295,0.984375,2,1749,,
0.16603116691112518,0.96875,2,1799,,
0.06497244536876678,0.984375,2,1849,,
0.14415213465690613,0.96875,2,1899,,
0.06423274427652359,0.96875,2,1949,,
0.16657988727092743,0.9375,2,1999,,
0.06818212568759918,0.984375,2,2049,,
0.09857361763715744,0.96875,2,2099,,
0.09463950246572495,0.96875,2,2149,,
0.06835930794477463,0.96875,2,2199,,
0.03325019031763077,1.0,2,2249,,
0.014749536290764809,1.0,2,2299,,
0.16074919700622559,0.953125,2,2349,,
0.12465251237154007,0.953125,2,2399,,
0.01221888605505228,1.0,2,2449,,
0.03125704824924469,1.0,2,2499,,
0.04173065721988678,1.0,2,2549,,
,,2,2579,0.076781265437603,0.9779999852180481
0.018568571656942368,1.0,3,2599,,
0.05523168668150902,0.984375,3,2649,,
0.049202971160411835,0.96875,3,2699,,
0.011566400527954102,1.0,3,2749,,
0.11912380158901215,0.984375,3,2799,,
0.06353406608104706,0.984375,3,2849,,
0.027537869289517403,1.0,3,2899,,
0.11088770627975464,0.953125,3,2949,,
0.01939534954726696,1.0,3,2999,,
0.006337660364806652,1.0,3,3049,,
0.008830143138766289,1.0,3,3099,,
0.00542043149471283,1.0,3,3149,,
0.02550242841243744,1.0,3,3199,,
0.012378934770822525,1.0,3,3249,,
0.031196722760796547,0.984375,3,3299,,
0.04862789064645767,0.984375,3,3349,,
0.025850292295217514,1.0,3,3399,,
,,3,3439,0.06521672010421753,0.9814000129699707
0.022924058139324188,1.0,4,3449,,
0.01155200507491827,1.0,4,3499,,
0.015418551862239838,1.0,4,3549,,
0.10221295058727264,0.984375,4,3599,,
0.0239324402064085,0.984375,4,3649,,
0.04785994812846184,0.984375,4,3699,,
0.10712790489196777,0.96875,4,3749,,
0.014760074205696583,1.0,4,3799,,
0.02040732465684414,1.0,4,3849,,
0.024922767654061317,0.984375,4,3899,,
0.16369518637657166,0.953125,4,3949,,
0.08474721759557724,0.96875,4,3999,,
0.03967183828353882,0.984375,4,4049,,
0.07610519230365753,0.984375,4,4099,,
0.016718914732336998,1.0,4,4149,,
0.025471877306699753,1.0,4,4199,,
0.01580318622291088,1.0,4,4249,,
0.05527059733867645,1.0,4,4299,,
,,4,4299,0.06125294044613838,0.984000027179718
0.04909048601984978,0.984375,5,4349,,
0.15467576682567596,0.96875,5,4399,,
0.1428428739309311,0.96875,5,4449,,
0.05384792387485504,0.984375,5,4499,,
0.004945863038301468,1.0,5,4549,,
0.014261509291827679,1.0,5,4599,,
0.013652504421770573,1.0,5,4649,,
0.04127054288983345,0.984375,5,4699,,
0.0045161861926317215,1.0,5,4749,,
0.05878731980919838,0.984375,5,4799,,
0.007836517877876759,1.0,5,4849,,
0.015157639048993587,1.0,5,4899,,
0.0068678646348416805,1.0,5,4949,,
0.07841581851243973,0.96875,5,4999,,
0.09445158392190933,0.96875,5,5049,,
0.07377119362354279,0.984375,5,5099,,
